tanggal,TAVG,RH_AVG,RR,FF_AVG,sumber_file
2024-06-14,27.0,84.0,0.6,1.0,bmkg_2024_06.xlsx
2024-06-15,27.5,83.0,35.0,2.0,bmkg_2024_06.xlsx
2024-06-16,26.7,90.0,0.5,2.0,bmkg_2024_06.xlsx
2024-06-17,27.6,83.0,24.0,2.0,bmkg_2024_06.xlsx
2024-06-18,26.4,85.0,12.0,1.0,bmkg_2024_06.xlsx
2024-06-19,27.6,78.0,0.0,2.0,bmkg_2024_06.xlsx
2024-06-20,27.5,72.0,0.19999999999999998,2.0,bmkg_2024_06.xlsx
2024-06-21,27.1,79.0,0.39999999999999997,2.0,bmkg_2024_06.xlsx
2024-06-22,27.1,78.0,0.6,2.0,bmkg_2024_06.xlsx
2024-06-23,27.4,72.0,0.0,2.0,bmkg_2024_06.xlsx
2024-06-24,28.0,75.0,1.8666666666666665,1.0,bmkg_2024_06.xlsx
2024-06-25,26.1,83.0,3.733333333333333,1.0,bmkg_2024_06.xlsx
2024-06-26,27.6,78.0,5.6,1.0,bmkg_2024_06.xlsx
2024-06-27,26.9,84.0,5.199999999999999,1.0,bmkg_2024_06.xlsx
2024-06-28,27.2,84.0,4.8,1.0,bmkg_2024_06.xlsx
2024-06-29,25.0,90.0,0.5,2.0,bmkg_2024_06.xlsx
2024-06-30,27.4,81.0,38.2,1.0,bmkg_2024_06.xlsx
2024-07-01,26.5,86.0,25.25,1.0,bmkg_2024_06.xlsx
2024-07-02,26.4,86.0,12.3,2.0,bmkg_2024_06.xlsx
2024-07-03,25.6,85.0,7.15,2.0,bmkg_2024_06.xlsx
2024-07-04,25.2,89.0,2.0,1.0,bmkg_2024_06.xlsx
2024-07-05,26.2,85.0,28.6,3.0,bmkg_2024_07.xlsx
2024-07-06,23.4,94.0,3.4,2.0,bmkg_2024_07.xlsx
2024-07-07,26.4,84.0,39.3,2.0,bmkg_2024_07.xlsx
2024-07-08,26.5,82.0,42.849999999999994,2.0,bmkg_2024_07.xlsx
2024-07-09,26.6,80.0,46.4,1.0,bmkg_2024_07.xlsx
2024-07-10,26.2,82.0,0.0,2.0,bmkg_2024_07.xlsx
2024-07-11,25.8,84.0,0.0,2.0,bmkg_2024_07.xlsx
2024-07-12,26.7,73.0,2.0,2.0,bmkg_2024_07.xlsx
2024-07-13,24.9,78.0,0.0,1.0,bmkg_2024_07.xlsx
2024-07-14,25.2,77.0,0.0,1.0,bmkg_2024_07.xlsx
2024-07-15,25.2,73.0,0.0,1.0,bmkg_2024_07.xlsx
2024-07-16,25.8,76.0,0.0,2.0,bmkg_2024_07.xlsx
2024-07-17,26.1,79.0,0.0,3.0,bmkg_2024_07.xlsx
2024-07-18,26.7,80.0,0.2,2.0,bmkg_2024_07.xlsx
2024-07-19,26.8,78.0,1.0,2.0,bmkg_2024_07.xlsx
2024-07-20,26.7,77.0,0.0,2.0,bmkg_2024_07.xlsx
2024-07-21,26.5,78.0,3.0,1.0,bmkg_2024_07.xlsx
2024-07-22,26.8,76.0,0.0,3.0,bmkg_2024_07.xlsx
2024-07-23,26.4,74.0,0.0,3.0,bmkg_2024_07.xlsx
2024-07-24,26.1,74.0,0.0,3.0,bmkg_2024_07.xlsx
2024-07-25,27.0,75.0,0.0,3.0,bmkg_2024_07.xlsx
2024-07-26,27.1,77.0,0.2,2.0,bmkg_2024_07.xlsx
2024-07-27,28.1,73.0,0.0,2.0,bmkg_2024_07.xlsx
2024-07-28,27.1,75.0,0.0,1.0,bmkg_2024_07.xlsx
2024-07-29,27.1,71.0,0.0,2.0,bmkg_2024_07.xlsx
2024-07-30,27.3,74.0,0.0,1.0,bmkg_2024_07.xlsx
2024-07-31,27.3,73.0,0.0,1.0,bmkg_2024_07.xlsx
2024-08-01,25.9,85.0,0.0,2.0,bmkg_2024_07.xlsx
2024-08-02,25.1,86.0,48.8,1.0,bmkg_2024_07.xlsx
2024-08-03,26.0,86.0,38.0,2.0,bmkg_2024_07.xlsx
2024-08-04,26.4,82.0,11.7,1.0,bmkg_2024_07.xlsx
2024-08-05,26.4,79.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-06,26.8,79.0,0.0,2.0,bmkg_2024_08.xlsx
2024-08-07,26.4,78.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-08,26.7,77.0,0.0,2.0,bmkg_2024_08.xlsx
2024-08-09,27.4,76.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-10,27.7,76.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-11,27.7,76.0,0.2,3.0,bmkg_2024_08.xlsx
2024-08-12,26.9,65.0,0.8,2.0,bmkg_2024_08.xlsx
2024-08-13,26.7,71.0,0.0,1.0,bmkg_2024_08.xlsx
2024-08-14,27.0,71.0,0.0,1.0,bmkg_2024_08.xlsx
2024-08-15,27.1,75.0,0.0,2.0,bmkg_2024_08.xlsx
2024-08-16,26.7,75.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-17,25.3,83.0,0.2,2.0,bmkg_2024_08.xlsx
2024-08-18,27.7,75.0,0.4,3.0,bmkg_2024_08.xlsx
2024-08-19,25.4,83.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-20,27.5,76.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-21,27.7,76.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-22,27.1,76.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-23,27.0,83.0,1.0,2.0,bmkg_2024_08.xlsx
2024-08-24,25.5,82.0,5.0,3.0,bmkg_2024_08.xlsx
2024-08-25,26.8,74.0,13.2,3.0,bmkg_2024_08.xlsx
2024-08-26,27.0,77.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-27,27.0,78.0,0.0,3.0,bmkg_2024_08.xlsx
2024-08-28,26.5,74.0,0.25,2.0,bmkg_2024_08.xlsx
2024-08-29,27.0,78.0,0.5,2.0,bmkg_2024_08.xlsx
2024-08-30,26.7,76.0,0.2,2.0,bmkg_2024_08.xlsx
2024-08-31,27.0,75.0,2.9,3.0,bmkg_2024_08.xlsx
2024-09-01,27.7,75.0,0.0,2.0,bmkg_2024_08.xlsx
2024-09-02,27.5,79.0,0.0,2.0,bmkg_2024_08.xlsx
2024-09-03,26.6,80.0,31.5,3.0,bmkg_2024_08.xlsx
2024-09-04,27.6,71.0,0.0,3.0,bmkg_2024_08.xlsx
2024-09-06,27.4,76.0,10.7,2.0,bmkg_2024_09.xlsx
2024-09-07,27.7,74.0,0.0,2.0,bmkg_2024_09.xlsx
2024-09-08,27.8,75.0,0.0,3.0,bmkg_2024_09.xlsx
2024-09-09,25.3,88.0,0.0,2.0,bmkg_2024_09.xlsx
2024-09-10,25.1,89.0,44.4,3.0,bmkg_2024_09.xlsx
2024-09-11,26.4,83.0,83.6,2.0,bmkg_2024_09.xlsx
2024-09-12,26.1,83.0,0.0,3.0,bmkg_2024_09.xlsx
2024-09-13,26.2,86.0,84.2,2.0,bmkg_2024_09.xlsx
2024-09-14,26.7,78.0,0.2,2.0,bmkg_2024_09.xlsx
2024-09-15,26.9,73.0,0.0,3.0,bmkg_2024_09.xlsx
2024-09-16,26.5,75.0,0.0,3.0,bmkg_2024_09.xlsx
2024-09-17,26.4,67.0,0.0,3.0,bmkg_2024_09.xlsx
2024-09-18,26.4,70.0,0.0,4.0,bmkg_2024_09.xlsx
2024-09-19,27.1,70.0,0.0,3.0,bmkg_2024_09.xlsx
2024-09-20,27.2,73.0,0.0,2.0,bmkg_2024_09.xlsx
2024-09-21,27.1,74.0,0.0,3.0,bmkg_2024_09.xlsx
2024-09-22,28.2,76.0,0.0,2.0,bmkg_2024_09.xlsx
2024-09-23,27.7,82.0,20.4,2.0,bmkg_2024_09.xlsx
2024-09-24,25.9,90.0,1.5,1.0,bmkg_2024_09.xlsx
2024-09-25,26.3,81.0,1.7,2.0,bmkg_2024_09.xlsx
