tanggal,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2019-05-06,29.8,23.0,6.0,7.9,98
2019-05-07,30.8,23.2,4.6,9.2,95
2019-05-08,31.2,23.1,3.1,8.0,94
2019-05-09,30.2,23.5,19.2,8.3,95
2019-05-10,29.6,23.2,14.8,7.1,96
2019-05-11,29.8,23.6,5.1,12.0,95
2019-05-12,29.6,23.7,10.2,8.9,97
2019-05-13,31.0,22.5,9.8,8.8,97
2019-05-14,30.5,23.5,16.6,11.3,96
2019-05-15,30.9,23.2,25.4,8.3,97
2019-05-16,30.7,23.6,5.0,7.4,98
2019-05-17,30.5,23.1,0.7,7.6,97
2019-05-18,29.5,23.1,2.4,8.3,92
2019-05-19,31.3,22.1,1.2,6.8,94
2019-05-20,30.9,23.2,1.6,6.8,94
2019-05-21,31.1,22.6,0.6,10.5,93
2019-05-22,31.3,23.5,2.2,11.0,93
2019-05-23,32.0,22.8,0.0,9.7,96
2019-05-24,31.3,22.9,0.2,14.7,96
2019-05-25,31.2,22.6,0.6,9.2,92
2019-05-26,31.7,23.6,0.1,7.6,90
2019-05-27,31.0,23.5,1.9,11.6,94
2019-05-28,31.5,23.0,0.6,14.0,94
2019-05-29,31.4,22.8,2.0,10.1,94
2019-05-30,31.8,23.5,3.9,9.5,95
2019-05-31,31.9,22.4,0.3,9.8,96
2019-06-01,31.3,23.9,0.6,11.4,90
2019-06-02,31.5,23.5,1.1,8.2,93
2019-06-03,30.9,23.0,1.0,10.0,92
2019-06-04,31.4,23.0,0.3,10.7,94
2019-06-05,32.3,22.5,0.6,8.5,94
2019-06-06,31.7,23.0,1.3,8.8,95
2019-06-07,30.6,23.4,15.2,7.4,97
2019-06-08,30.5,23.3,3.4,8.2,98
2019-06-09,30.0,22.9,0.0,8.3,96
2019-06-10,31.8,21.5,0.0,7.0,92
2019-06-11,31.3,23.6,1.4,7.9,95
2019-06-12,32.0,23.6,0.0,9.4,95
2019-06-13,32.0,23.3,0.0,8.6,96
2019-06-14,31.3,23.9,0.6,6.5,96
2019-06-15,31.3,23.8,2.9,6.9,99
2019-06-16,31.5,23.7,5.0,7.8,98
2019-06-17,32.0,22.1,0.0,9.8,97
2019-06-18,31.3,20.2,0.3,15.3,94
2019-06-19,32.3,20.3,0.0,13.9,95
2019-06-20,32.0,22.2,0.0,9.5,94
2019-06-21,31.4,21.5,0.0,9.4,91
2019-06-22,31.5,21.1,0.0,8.3,93
2019-06-23,31.8,22.2,0.4,8.3,96
2019-06-24,31.9,22.3,0.0,12.6,96
2019-06-25,33.1,21.4,0.0,11.9,93
2019-06-26,33.3,20.5,0.1,13.2,92
2019-06-27,32.8,22.2,0.5,9.4,86
2019-06-28,32.8,22.4,0.1,10.1,88
2019-06-29,33.2,22.3,0.0,14.6,84
2019-06-30,33.0,21.8,0.2,11.6,82
2019-07-01,33.2,21.5,0.0,17.5,91
2019-07-02,33.5,23.7,0.2,15.5,85
2019-07-03,34.4,23.0,0.0,17.9,81
2019-07-04,32.7,23.5,6.8,9.5,93
2019-07-05,32.0,23.3,2.2,8.7,95
